start,end,duration_hr,P_in,peak_intensity_in_hr,Q_in,runoff_ratio
1990-01-25,1990-01-26 23:00:00,48.0,1.5800000000000003,0.0425,0.6535481171548118,0.41363804883215927
1990-03-18,1990-03-18 23:00:00,24.0,1.42,0.059166666666666666,0.15587900627615064,0.10977394808179623
1990-03-29,1990-04-04 23:00:00,168.0,1.6800000000000002,0.025833333333333333,0.6683307531380753,0.3978159244869496
1990-04-15,1990-04-15 23:00:00,24.0,1.18,0.049166666666666664,0.6680714086471409,0.5661622107179161
1990-04-30,1990-04-30 23:00:00,24.0,1.42,0.059166666666666666,0.16089732217573224,0.11330797336319173
1990-05-10,1990-05-11 23:00:00,48.0,1.38,0.04041666666666666,0.33766652719665274,0.2446858892729368
1990-05-26,1990-05-30 23:00:00,120.0,2.4899999999999993,0.03916666666666666,0.6347197071129708,0.2549075128967755
1990-06-10,1990-06-10 23:00:00,24.0,1.19,0.04958333333333333,0.0370516829381683,0.031135868015267482
1990-07-12,1990-07-16 23:00:00,120.0,3.2999999999999994,0.07166666666666667,0.6551664267782427,0.19853528084189176
1990-08-06,1990-08-07 23:00:00,48.0,2.2600000000000002,0.08374999999999999,1.709261736401674,0.756310502832599
1990-08-09,1990-08-10 23:00:00,48.0,3.2899999999999996,0.11916666666666666,1.3810205289898387,0.41976307872031576
1990-08-20,1990-08-25 23:00:00,144.0,1.6,0.028749999999999998,0.18686141063956968,0.11678838164973104
1990-10-19,1990-10-19 23:00:00,24.0,1.14,0.047499999999999994,0.026336433054393305,0.023102134258239742
1990-10-22,1990-10-24 23:00:00,72.0,4.02,0.145,2.4825731445123913,0.617555508585172
1990-11-10,1990-11-11 23:00:00,48.0,2.2999999999999994,0.0775,1.0281378900179319,0.44701647392084004
1990-12-15,1990-12-19 23:00:00,120.0,1.27,0.03,0.3956633652121937,0.31154595685999503
1990-12-21,1990-12-24 23:00:00,96.0,1.27,0.023333333333333334,0.3905728033472803,0.30753764043092935
1990-12-28,1990-12-28 23:00:00,24.0,1.2,0.049999999999999996,0.591305439330544,0.4927545327754534
1991-01-11,1991-01-12 23:00:00,48.0,1.61,0.05416666666666667,1.051901255230126,0.6533548169131216
1991-03-21,1991-03-24 23:00:00,96.0,2.09,0.0525,0.9165234309623432,0.4385279573982504
